num,id
61,e9f692a7a848a9dbd94d7f9c04c7cd5ae0498056489a620ffabd5f97a1d4c0bai0
62,b77f7fc1de82217d7f637bc3e3cf94feed91c9b7f73f33f463e62f8d4db866dfi0
63,1a783fe55eb0071d13f9c95b1b714460ef5165dbd7ba8bddbfd6f3f6c830c577i0
64,e240f5ed2d8b39e8fe36793c481f8d21dd925f8b31a1e1b351ad2ad4667694c2i0
65,e9ec61aa4225b8ee29f0573f579b2e97d5d5f2f797622d57b54ca6a01d91f961i0
66,2bd8f7de63d1976642ef703424c9ab0fa702f74488b9b95e7a98c22f37417092i0
67,6b0ab1ea181d59c3e406a97f1e8212cd8a7bf7c4ddbcab2d7c3c396a8aea0baci0
68,bbfc37d256f584668ef92ac47f99f6ca7138986f5c697c4224371cc389de847ai0
69,08c1297ae852be38bd6b65e0d8dcd052a5b25d51fa00698afd41f2a4695413eci0
70,ddb0b3eacd632f1aaaf98f87a23124e66aaaa31f8199675bf44a12cfcd1873dei0
71,ea76e6272118ba404c3a6454d64dc8402b699481d3eb880640055b4a31252beei0
72,208bb4a0441738fe185cc3c50c9f1cfc2cc4eeb0557f2a07fc38755a42751268i0
73,215c128d8ad6c5ed7765490d12bd372d172a9beb35c1d05bbff16018727c1641i0
74,a4f2941f25801bfb3fc98162ef1f4ae30fe2cd197635384326ea24efa6d2f118i0
75,ada529f85c5ff8d4b5250aafacea264844e736589bdf81f4061a22611d7a95a3i0
76,2e878a0117e1515e7d2ce15a95889108eb8ea37cf6c6652aec10f57ce9f51d29i0
77,8a8454a0c3d9e7419cf773548a9a85d26c87e2520acb154f67b720c5e851988ei0
78,ef2f4061ff59ca1c578d211417fc9fc2764be1290588f2c8af417540e63ba35ei0
79,009fbbbdbbefd023d3585da00686a1605b397d0f4f9c9950d188a79ccb340f5ci0
80,8f45adec5785ce611dadbdc752bef16361cf3aff4baa53ecf07a5429786dfbaai0
81,4b8ef551a438afd2c02be3532036ea3dfa634f728211f38d8ed97237bff39df2i0
82,fc4ee6acb423e2ed6df25ded0d806278db7ae81a56ddd67f072c2e94465b912ai0
83,0b69e97514d64080c9e402ccfb3796f016dcad76d4babb6b348189d17e6fd3d6i0
84,ae72e53aa20dca324236d203285a05c4e66000fffe5f4dc1351880f7b1da4827i0
85,6964e8f582e717d8c9fd4021e50e411c6cc23a9bb7cd65b0983f4833f425c5c2i0
86,890e6644eb08f0c9bfe747c4bd8302734e9f9b9562fa4063681c3a988a89a52ai0
87,f400188826e5cae19258fa61755c6e3c4d3f1531be83bda086f6e85aa2977e57i0
88,dca282c5c3bb60ae491dd89b9fb55f719d65fa83074de63f0bd57bf3a83de318i0
89,00ea3921b058cb9c03751ae4031e11eb3b998117740c696c5029b6d766e738b0i0
90,925d034a9f1ce7a3288ce50e30cb4395a159129e8d5f7352058bcebff83904b3i0
91,5b780d270932584e63a436fbcb54048c9f3e6a4a50703189373e0536bba9d144i0
92,7b4439f0c0d68dd2d4273612ba39d4e5e4c4a5cd672208b383ac3a54584da31fi0
93,e642b444828a712d03c92a5d29b5c897015e9928da2a957e6e091782efbb6abbi0
94,ba015809a9e8a341137fc30a54c579ebc40b9fbd65b267901b26b0f0b23ea2f9i0
95,e625070f80c521cdc3608025c2df3e47715c71d9f03cbe37d8a86352b24ee5cci0
96,e289af4f868262285276f17980f5fbd144d4714114f354d7ba93b7669f647840i0
97,ea60efe376e89e6ab3e49c4c5de4cb36bfa27a5cba9fff46a69ff7c5edfad139i0
98,2e16ee2f4daaffb382e894ab6175046cf321c60d90702dc59380ac25e101d7a7i0
